id,link,title,content,db1_overall,l.berrangford_db1,apfisch_db1,ee18ivc_db1,miriam_db1,db2_overall,l.berrangford_db2,apfisch_db2,ee18ivc_db2,miriam_db2,l.berrangford_notes,apfisch_notes,ee18ivc_notes,miriam_notes
241264,https://apsis.mcc-berlin.net/scoping/document/193/241264/,"Disease outbreaks, bleaching and a cyclone drive changes in coral assemblages on an inshore reef of the Great Barrier Reef","Coral disease is a major threat to the resilience of coral reefs; thus, understanding linkages between disease outbreaks and disturbances predicted to increase with climate change is becoming increasingly important. Coral disease surveys conducted twice yearly between 2008 and 2011 at a turbid inshore reef in the central Great Barrier Reef spanned two disturbance events, a coral bleaching event in 2009 and a severe cyclone (cyclone 'Yasi') in 2011. Surveys of coral cover, community structure and disease prevalence throughout this 4-yr study provide a unique opportunity to explore cumulative impacts of disturbance events and disease for inshore coral assemblages. The principal coral disease at the study site was atramentous necrosis (AtN), and it primarily affected the key inshore, reef-building coral Montipora aequituberculata. Other diseases detected were growth anomalies, white syndrome and brown band syndrome. Diseases affected eight coral genera, although Montipora was, by far, the genus mostly affected. The prevalence of AtN followed a clear seasonal pattern, with disease outbreaks occurring only in wet seasons. Mean prevalence of AtN on Montipora spp. (63.8 % +/- A 3.03) was three- to tenfold greater in the wet season of 2009, which coincided with the 2009 bleaching event, than in other years. Persistent wet season outbreaks of AtN combined with the impacts of bleaching and cyclone events resulted in a 50-80 % proportional decline in total coral cover. The greatest losses of branching and tabular acroporids occurred following the low-salinity-induced bleaching event of 2009, and the greatest losses of laminar montiporids occurred following AtN outbreaks in 2009 and in 2011 following cyclone Yasi. The shift to a less diverse coral assemblage and the concomitant loss of structural complexity are likely to have long-term consequences for associated vertebrate and invertebrate communities on Magnetic Island reefs.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
261525,https://apsis.mcc-berlin.net/scoping/document/193/261525/,Summer evapotranspiration in western Siberia: a comparison between eddy covariance and Penman method formulations,"Evapotranspiration is difficult to quantify because of the many factors and complex processes that influence it. Several empirical methods have been developed over the years to estimate potential evapotranspiration based on easily available parameters. Directly measured data of actual evapotranspiration have been rather sparse in the past and still need to be improved in particular regions like western Siberia. The transition zone between the warm temperate and cold temperate continental climates is very sensitive to climate change, and water stress is an increasingly important issue in these regions with a highly dynamic agricultural activity. So there is a growing need to estimate actual evapotranspiration. Widely usable approximations are needed. In this study, the values of potential evapotranspiration computed with the original version, and eight modifications of the Penman formulation were compared and related to the actual evapotranspiration measured by eddy covariance over a grassland area in western Siberia. The original 1948 and 1963 Penman formulations are best for estimating potential evapotranspiration in the transition zone between the forest steppes and the pre-taiga. A nearly linear relationship between the potential and actual evapotranspiration was found. A simple modification of the Penman equation (i.e. the multiplication of the result by a factor of 0.47) is suggested for approximating the actual evapotranspiration based on standard meteorological data for the region. The original Penman formulation is most robust and will provide the widest applicability in the future under changing climate and environmental conditions. In this context, it is further recommended not to neglect the ventilation term of the Penman equation, which is often assumed to be negligibly small. A detailed correlation analysis showed that under dry soil conditions, the vegetation largely contributed to the actual evapotranspiration and, in contrast to widely held expectations, that the Penman equation is best adapted to vegetated surfaces. Copyright (c) 2015 John Wiley & Sons, Ltd.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
264144,https://apsis.mcc-berlin.net/scoping/document/193/264144/,Towards sustainable lifestyles. A variety of lifestyles for a post-carbon society,"In 2009 a programme -""Re-thinking Society in a Post-carbon Society""- steered jointly by the Foresight Department of the French Ecology Ministry and the French Environment and Energy Management Agency (ADEME), was launched in France. It is still ongoing and aims to produce a final report in 2013. The idea of a transition towards a ""postcarbon"" society includes four main objectives: reducing greenhouse gas emissions by 2050 to one quarter of what they were in 1990; near-autonomy with regard to carbon energies (petrol, gas, coal); an adequate capacity to adapt to climate change and, lastly, greater attention to situations of ""energy precariousness"". As part of the dossier Futuribles is devoting to this programme this month, Andreas Huber, Sébastien Girard and Pierre Le Marre lay out in this article the results of the studies they have carried out on ""sustainable urban milieus"". After a presentation of the notion of ""milieu"" (based here on a segmentation using the Socio-milieus® method) and of the typology employed (nine main social milieus, three emergent milieus and 16 contrasting profiles), the authors show the extent to which individuals' carbon footprints vary, depending upon lifestyles, and what a determining effect these lifestyles have in the fields of housing and transport. They then specify the various factors influencing behaviour in the direction of sustainable consumption (or not) and the different types of strategies of intervention that are likely to modify those behaviours. Lastly, they detail two targeted strategies, one aimed at the ""precarious seniors"" milieu and the other at the ""eco-elite"" milieu. Despite certain imperfections that remain to be sorted out in the study of sustainable urban milieus, these studies open up new perspectives for the development of sociologically targeted policies for a post-carbon transition.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,mitigation    
272955,https://apsis.mcc-berlin.net/scoping/document/193/272955/,"Effect of climatic factors such as temperature, precipitation on maize production in China","Impacts of climate change on agriculture has received wide concerns globally, yet a number of questions such as how past climate change affected the crop yields, which climatic variables were the main contributor for observed yield reduction remained unanswered to date, particularly in developing countries. Information about the climatic risks posed on crop growth, and yield responses to the specific climatic risks is prerequisite for understanding the underlying mechanisms of climate change impacts and devising appropriate adaptation strategies. This study first identified the changes of growing-season climatic variables (temperature, precipitation, and solar radiation) from 1982-2006 for China's maize production. Using the relationships between changes in survey maize yield and climatic variables and their spatial variations, we investigated and untangled the impacts of different climatic variables on maize yield. Our analysis demonstrated that the growing-season temperatures, including daily maximum, minimum and mean temperatures, exhibited significant increase during 1981-2006, indicating the potential climatic risks for maize growth in China. Growing-season diurnal temperature range, precipitation and solar radiation also exhibited detectable changes, but limited to small parts of the maize area. During 1981-2006, there were significant negative correlations between national maize yield and temperatures (include mean, maximum, and minimum temperatures). Maize yield in some maize areas also exhibited linear correlation relationship to growing-season diurnal temperature range, solar radiation, and precipitation. With a 1℃ warming in growing-season temperature, 1℃ increase in diurnal temperature range, a 10% decrease in radiation and precipitation, much of the maize area showed detectable yield response to these changes. Maize experienced depressed yield to the 1℃ warming in growing-season temperature, denoting by roughly a quarter of China's maize area exhibiting depressed yield and an estimated reduction of 25.1% across the regions that have detectable negative yield responses. The four climatic variables have diverse impacts on the maize yield in terms of the magnitude of yield change and the spatial variation of yield response. We identified the key climatic factor for observed maize yield change for all maize area. Temperature appeared as the first key climatic driver for maize yield change in over 40% maize area, while diurnal temperature range acted as a main player in 23% maize area. Radiation and precipitation shared a small and similar portion of maize area for playing as the key climatic variables for the yield response. We recognized the uncertainties in our study some of which came from reliability of data resource and the use of statistical method. However, this study provided first hand information on maize yield response to historical climatic risks, which advanced the understanding of underlying mechanism of climate change impacts on China's maize production and assisted the projection of maize yield for future climate change. ©, 2014, Chinese Society of Agricultural Engineering. All right reserved.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
315935,https://apsis.mcc-berlin.net/scoping/document/193/315935/,What determines tree mortality in dry environments? a multi-perspective approach,"Forest ecosystems function under increasing pressure due to global climate changes, while factors determining when and where mortality events will take place within the wider landscape are poorly understood. Observational studies are essential for documenting forest decline events, understanding their determinants, and developing sustainable management plans. A central obstacle towards achieving this goal is that mortality is often patchy across a range of spatial scales, and characterized by long-term temporal dynamics. Research must therefore integrate different methods, from several scientific disciplines, to capture as many relevant informative patterns as possible. We performed a landscape-scale assessment of mortality and its determinants in two representative Pinus halepensis planted forests from a dry environment (similar to 300 mm), recently experiencing an unprecedented sequence of two severe drought periods. Three data sources were integrated to analyze the spatiotemporal variation in forest performance: (1) Normalized Difference Vegetation Index (NDVI) time-series, from 18 Landsat satellite images; (2) individual dead trees point-pattern, based on a high-resolution aerial photograph; and (3) Basal Area Increment (BAI) time-series, from dendrochronological sampling in three sites. Mortality risk was higher in older-aged sparse stands, on southern aspects, and on deeper soils. However, mortality was patchy across all spatial scales, and the locations of patches within ""high-risk"" areas could not be fully explained by the examined environmental factors. Moreover, the analysis of past forest performance based on NDVI and tree rings has indicated that the areas affected by each of the two recent droughts do not coincide. The association of mortality with lower tree densities did not support the notion that thinning semiarid forests will increase survival probability of the remaining trees when facing extreme drought. Unique information was obtained when merging dendrochronological and remotely sensed performance indicators, in contrast to potential bias when using a single approach. For example, dendrochronological data suggested highly resilient tree growth, since it was based only on the ""surviving"" portion of the population, thus failing to identify past demographic changes evident through remote sensing. We therefore suggest that evaluation of forest resilience should be based on several metrics, each suited for detecting transitions at a different level of organization.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
317623,https://apsis.mcc-berlin.net/scoping/document/193/317623/,Trying hard to adapt to a chaotic world: How complex challenges overwhelmed best intentions,"In this future, citizens of the Great Lakes-St. Lawrence River basin recognize their dependence upon and became united around a common vision for a thriving Great Lakes basin. However, in 2063 the environment and economy are out of balance; citizens are constantly forced to make difficult trade-offs. Climate warming, geopolitical pressures such as environmental refugees, an aging population, and a sluggish economy have overwhelmed the region's efforts to find a balance that would have ensured human prosperity without diminishing the integrity of the Great Lakes basin. This narrative illustrates the time period 2013 to 2063, depicting how the collision of multiple drivers of change cause declining social and environmental conditions, and force a gradual transformation in societal values. While society was initially complacent, the groundwork for social transformation was laid over three decades. Impacts of education programs, opposition to environmentally degrading natural resource extraction, and widespread effects of both failing social services and physical infrastructure galvanize grassroots mobilization of communities around ""iceless hockey rink"" meetings. These meetings act as a catalyst, translating this social movement into governance that works towards a common vision based on shared values. However, despite innovative technologies and cohesive efforts, it becomes obvious that attempts to oppose the complex and interrelated forces driving changes in the Great Lakes region are limited. These efforts come at huge economic costs, and the harsh reality forces people in the region to make difficult decisions that threaten some facets of economic, social and environmental well-being while protecting others. (C) 2014 International Association for Great Lakes Research. Published by Elsevier BY. All rights reserved.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
412969,https://apsis.mcc-berlin.net/scoping/document/193/412969/,The impact of climate change on plant epigenomes,,Mixed,No,No,Maybe,Maybe,Unrated,Unrated,Unrated,Unrated,Unrated,,,,no abstract                    
417701,https://apsis.mcc-berlin.net/scoping/document/193/417701/,When shape matters: Strategies of different Antarctic ascidians morphotypes to deal with sedimentation,"Climate change leads to increased melting of tidewater glaciers in the Western Antarctic Peninsula region and sediment bearing glacial melt waters negatively affects filter feeding species as solitary ascidians. In previous work the erect-forms Molgula pedunculata and Cnemidocarpa verrucosa (Order Stolidobranchiata) appeared more sensitive than the flat form Ascidia challengeri (Order Phlebobranchiata). Sedimentation exposure is expected to induce up-regulation of anaerobic metabolism by obstructing the organs of gas exchange (environmental hypoxia) or causes enhanced squirting activity (functional hypoxia). In this study we evaluated the possible relationship between ascidian morphotype and their physiological response to sedimentation. Together with some behavioural observations, we analysed the response of anaerobic metabolic parameters (lactate formation and glycogen consumption) in different tissues of three Antarctic ascidians, exposed to high sediment concentrations (200 mgL(-1)). The results were compared to experimental hypoxia (10% pO(2)) and exercise (induced muscular contraction) effects, in order to discriminate the effect of sediment on each species and morpho-type (erect vs. flat forms). Our results suggest that the styled (erect) C. verrucosa increases muscular squirting activity in order to expulse excessive material, while the flat-form A. challengeri reacts more passively by down-regulating its aerobic metabolism under sediment exposure. Contrary, the erect ascidian M. pedunculata did not show any measurable response to the treatments, indicating that filtration and ingestion activities were not reduced or altered even under high sedimentation (low energetic material) which could be disadvantageous on the long-term and could explain why M pedunculata densities decline in the study area. (C) 2014 Elsevier Ltd. All rights reserved.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
419130,https://apsis.mcc-berlin.net/scoping/document/193/419130/,Cultural dimensions of climate change impacts and adaptation,"Society's response to every dimension of global climate change is mediated by culture. We analyse new research across the social sciences to show that climate change threatens cultural dimensions of lives and livelihoods that include the material and lived aspects of culture, identity, community cohesion and sense of place. We find, furthermore, that there are important cultural dimensions to how societies respond and adapt to climate-related risks. We demonstrate how culture mediates changes in the environment and changes in societies, and we elucidate shortcomings in contemporary adaptation policy.",Mixed,Maybe,Maybe,Maybe,Maybe,Unrated,Unrated,Unrated,Unrated,Unrated,"Unclear if empirical. Refers to analysis, but would  need full-text confirmation.                    ","     not empirical, and focusing on factor in potential response and not responses themselves              ",,not sure if counts as empirical 
432887,https://apsis.mcc-berlin.net/scoping/document/193/432887/,FOREST TREE POLLEN DISPERSAL VIA THE WATER CYCLE,"Premise of the Study: Pine pollen (Pinus spp.), along with other atmospheric particles, is dispersed by the water cycle, but this mode of dispersal requires cloud-pollen interactions that depend on taxon-specific biological properties. In the simplest form of this dispersal, pine pollen ascends vertically to altitudes of 2 to 6 km, where a fraction is captured by mixed-phase cloud formation. Captured pollen accretes into frozen droplets, which ultimately descend as rain, snow, or hail. Whether Pinus pollen can still germinate after its exposure to high-altitude freezing is pertinent to (1) how forests adapt to climate change and (2) potential gene flow between genetically modified plantation species and their conspecific relatives. Methods: To address this question, pollen from four Old World and two New World Pinus species were subjected to immersion freezing, a common cloud formation mode, under laboratory conditions. Key Results: Some pollen grains immersed at -20 degrees C for 15, 60, or 120 min in either a dehydrated or a water-saturated state were still capable of germination. After exposure, dehydrated pine pollen had higher germination (43.3%) than water-saturated pollen (7.6%). Conclusions: Pine pollen exposed to freezing during cloud formation can still germinate, raising the question of whether rain-delivered live pollen might be linked to rain-facilitated pollination. Dispersal of live pine pollen via cloud formation and the water cycle itself deserves closer study.",No,No,No,No,No,Unrated,Unrated,Unrated,Unrated,Unrated,,,,
441306,https://apsis.mcc-berlin.net/scoping/document/193/441306/,Working with land users in Mongolia to arrest and reverse desertification and capture conservation benefits,"Since Mongolia's democratization and move to a free market, the country has been grappling with the best approaches to deal with pasture degradation caused by both climate change and lifestyle changes of nomadic herders. International donors and NGOs have implemented community based natural resource management projects withthe missions mitigating the effects of pasture degradation and livelihoods of herding families through building capacity. While studies have been done regarding the effectiveness of these community based conservation projects, minimal research has been done to understand how the traditions, values, and culture of Mongolia herders affect the success of these pastureland conservation programs. Thus, one of Mongolia's key challenges today is to find a way to manage pastureland in a sustainable way and to develop sustainable herding strategies to adapt to changing socioeconomic conditions. © 2015 by Nova Science Publishers, Inc. All rights reserved.",Mixed,Maybe,No,Maybe,Maybe,Unrated,Unrated,Unrated,Unrated,Unrated,Not clear if this is empirical. Book chapter.,"not empirical, proposing empirical?",,"Book Chapter.
Abstract does not make clear if this is an empirical study               "
470715,https://apsis.mcc-berlin.net/scoping/document/193/470715/,Valuing climate change mitigation: A choice experiment on a coastal and marine ecosystem,"This paper adds to a limited literature eliciting willingness to pay (WTP) for mitigation measures against natural hazards caused by climate change, on coastal and marine environments. Our case study is Santander, a coastal region in Northern Spain. The case-study specific natural hazards concern (a) sea-level rise, high tides and extreme wave events that lead to floods and beach erosion, (b) rise in sea temperature that leads to invasive jellyfish blooms and changes in native biodiversity. In particular, we employ a choice experiment (CE) to elicit the value locals place on improvements, through the implementation of appropriate mitigation measures, in biodiversity, recreational opportunities and on decreases in health risks associated with jellyfish blooms. Results suggest that people value positively benefits in terms of increased biodiversity and recreation opportunities, as well as health risk reductions, and point to interesting policy implications. (C) 2014 Published by Elsevier B.V.",Mixed,Yes,Yes,Maybe,Maybe,Mixed/Maybe,No,No,Unrated,Unrated,"Uses term 'mitigation', but actually seems more about adaptation (not emissions).",,,maybe too mitigation and impacts focused?
484080,https://apsis.mcc-berlin.net/scoping/document/193/484080/,Critical research needs for managing coral reef marine protected areas: Perspectives of academics and managers,"Marine protected areas (MPAs) are a primary policy instrument for managing and protecting coral reefs. Successful MPAs ultimately depend on knowledge-based decision making, where scientific research is integrated into management actions. Fourteen coral reef MPA managers and sixteen academics from eleven research, state and federal government institutions each outlined at least five pertinent research needs for improving the management of MPAs situated in Australian coral reefs. From this list of 173 key questions, we asked members of each group to rank questions in order of urgency, redundancy and importance, which allowed us to explore the extent of perceptional mismatch and overlap among the two groups. Our results suggest the mismatch among MPA managers and academics is small, with no significant difference among the groups in terms of their respective research interests, or the type of questions they pose. However, managers prioritised spatial management and monitoring as research themes, whilst academics identified climate change, resilience, spatial management, fishing and connectivity as the most important topics. Ranking of the posed questions by the two groups was also similar, although managers were less confident about the achievability of the posed research questions and whether questions represented a knowledge gap. We conclude that improved collaboration and knowledge transfer among management and academic groups can be used to achieve similar objectives and enhance the knowledge-based management of MPAs. (C) 2012 Elsevier Ltd. All rights reserved.",Mixed,Yes,No,No,Yes,Mixed/Maybe,No,Unrated,Unrated,No,,"not CC, and not observed responses                    ",,
